movieId,title,genres,year
122896,Pirates of the Caribbean: Dead Men Tell No Tales (2017),(no genres listed),2017.0
122898,Justice League (2017),Action|Adventure|Sci-Fi,2017.0
122906,Black Panther (2017),Action|Adventure|Sci-Fi,2017.0
122908,Inhumans (2018),Action|Adventure|Sci-Fi,2018.0
122910,Captain Marvel (2018),Action|Adventure|Sci-Fi,2018.0
122912,Avengers: Infinity War - Part I (2018),Action|Adventure|Sci-Fi,2018.0
122914,Avengers: Infinity War - Part II (2019),Action|Adventure|Sci-Fi,2019.0
122916,Thor: Ragnarok (2017),Action|Adventure|Sci-Fi,2017.0
122918,Guardians of the Galaxy 2 (2017),Action|Adventure|Sci-Fi,2017.0
122926,Untitled Spider-Man Reboot (2017),Action|Adventure|Fantasy,2017.0
135426,Fantastic Beasts and Where to Find Them 2 (2018),(no genres listed),2018.0
143345,Shazam! (2019),Action|Adventure|Fantasy|Sci-Fi,2019.0
143347,Aquaman (2018),Action|Fantasy|Sci-Fi,2018.0
143355,Wonder Woman (2017),Action|Adventure|Fantasy,2017.0
143387,Pitch Perfect 3 (2017),(no genres listed),2017.0
166532,Live by Night (2017),Crime|Drama,2017.0
166534,Split (2017),Drama|Horror|Thriller,2017.0
167064,I Am Not Your Negro (2017),Documentary,2017.0
167380,A Dog's Purpose (2017),Comedy|Drama,2017.0
167564,The Little Hours (2017),Comedy,2017.0
167634,Fist Fight (2017),Comedy,2017.0
167638,Sleepless (2017),Action|Thriller,2017.0
167640,A Cure for Wellness (2017),Drama|Horror|Mystery|Thriller,2017.0
167700,The Snow Queen 3 (2017),Animation,2017.0
167718,The Man (2017),(no genres listed),2017.0
167738,xXx: Return of Xander Cage (2017),Action|Adventure|Crime|Thriller,2017.0
167740,The Bye Bye Man (2017),Horror|Thriller,2017.0
167746,The Lego Batman Movie (2017),Action|Animation|Comedy,2017.0
167814,A Wedding (2017),(no genres listed),2017.0
167840,Rangoon (2017),Drama|Romance,2017.0
167842,Death Race 2050 (2017),Action|Comedy|Sci-Fi,2017.0
167856,Bright Lights: Starring Carrie Fisher and Debbie Reynolds (2017),Documentary,2017.0
167858,Trespass Against Us (2017),Action|Crime|Drama|Thriller,2017.0
167980,Coin Heist (2017),Crime|Drama,2017.0
168060,Rings (2017),Horror,2017.0
168122,Raw (2017),Drama,2017.0
168126,Clinical (2017),Thriller,2017.0
168174,Jim Gaffigan: Cinco (2017),Comedy,2017.0
168204,Eu Fico Loko (2017),Comedy,2017.0
168214,The Crash (2017),Crime|Thriller,2017.0
168218,Kizumonogatari III: Cold Blood (2017),Animation|Fantasy|Mystery,2017.0
168240,Afterimage (2017),Drama,2017.0
168248,John Wick: Chapter Two (2017),Action|Crime|Thriller,2017.0
168250,Get Out (2017),Horror,2017.0
168252,Logan (2017),Action|Sci-Fi,2017.0
168254,Kong: Skull Island (2017),Action|Adventure|Fantasy,2017.0
168266,T2: Trainspotting (2017),Crime|Drama,2017.0
168274,Patient Zero (2017),Action|Drama|Horror|Thriller,2017.0
168286,Before I Fall (2017),Drama,2017.0
168288,The Belko Experiment (2017),Action|Horror|Thriller,2017.0
168326,The Big Sick (2017),Comedy|Romance,2017.0
168328,Ingrid Goes West (2017),Comedy|Drama,2017.0
168330,I Don't Feel at Home in This World Anymore (2017),Crime|Drama,2017.0
168344,King Arthur: Legend of the Sword (2017),Action|Adventure|Drama|Fantasy,2017.0
168366,Beauty and the Beast (2017),Fantasy|Romance,2017.0
168370,Take the L (2017),Comedy,2017.0
168418,The Boss Baby (2017),Animation|Children|Comedy,2017.0
168420,Justice League Dark (2017),Action|Animation|Fantasy|Horror,2017.0
168462,The other me (2017),Mystery|Thriller,2017.0
168492,Call Me by Your Name (2017),Drama|Romance,2017.0
168498,Resident Evil: The Final Chapter (2017),Action|Horror|Sci-Fi,2017.0
168554,iBoy (2017),Action|Crime|Sci-Fi|Thriller,2017.0
168556,L'ora legale (2017),Comedy,2017.0
168608,Mudbound (2017),Drama,2017.0
168610,A Ghost Story (2017),Drama,2017.0
168612,Ghost in the Shell (2017),Action|Drama|Sci-Fi,2017.0
168626,Pork Pie (2017),Action|Comedy,2017.0
168632,Bill Burr: Walk Your Way Out (2017),Comedy,2017.0
168646,Dalida (2017),Comedy|Drama,2017.0
168650,XX (2017),Horror,2017.0
168656,Ok Jaanu (2017),Drama|Romance,2017.0
168712,Fifty Shades Darker (2017),Drama|Romance,2017.0
168714,Wilson (2017),Comedy,2017.0
168720,Lost & Found (2017),Adventure|Children|Mystery,2017.0
168722,Attraction (2017),Sci-Fi,2017.0
168724,Mes trésors (2017),Comedy,2017.0
168738,Don't Knock Twice (2017),Horror,2017.0
168774,Detour (2017),Thriller,2017.0
168778,The Book of Love (2017),Drama,2017.0
168806,The Other Side Of Hope (2017),(no genres listed),2017.0
168808,Trumped: Inside the Greatest Political Upset of All Time (2017),Documentary,2017.0
168826,Hickey (2017),Comedy,2017.0
168832,The Man Who Was Too Free (2017),(no genres listed),2017.0
168834,Orphan (2017),Drama,2017.0
168838,Nieve negra (2017),Thriller,2017.0
168846,Neal Brennan: 3 Mics (2017),Comedy,2017.0
168862,"Michael Bolton's Big, Sexy Valentine's Day Special (2017)",Comedy,2017.0
168898,Lost in Florence (2017),Adventure|Drama|Romance,2017.0
